Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2016-06-30,27045.0452606,16982.7577832,44027.8030438,36183.1896577,21974.1552984,6304.50573221,15669.6495662
2016-07-31,27076.1309269,17024.0323321,44100.163259,36251.9563484,22038.2263926,6320.99616054,15717.2302321
2016-08-31,27107.5252351,17055.5640895,44163.0893246,36302.0972269,22093.3644485,6331.82903051,15761.535418
2016-09-30,27140.6049357,17076.3455584,44216.9504941,36382.505159,22144.1613469,6335.95818032,15808.2031666
2016-10-31,27142.0075861,17084.6078269,44226.615413,36405.8624186,22187.6671684,6331.47127874,15856.1958897
2016-11-30,27163.0136224,17116.919638,44279.9332603,36482.1889143,22277.5018253,6348.83000386,15928.6718215
2016-12-31,27169.8101725,17145.1302199,44314.9403924,36543.0301312,22353.9554765,6361.09413553,15992.8613409
2017-01-31,27199.5250619,17171.1900672,44370.7151291,36611.27742,22416.2340109,6370.52506059,16045.7089503
2017-02-28,27223.5878884,17199.8143441,44423.4022326,36657.2247185,22464.4445518,6387.71929057,16076.7252612
2017-03-31,27274.0087363,17246.4933521,44520.5020884,36727.5271805,22473.1597752,6388.10884174,16085.0509334
2017-04-30,27309.2619275,17268.7711481,44578.0330756,36809.4867937,22481.980926,6422.44632971,16059.5345963
2017-05-31,27352.8285465,17283.8638053,44636.6923518,36901.290061,22538.0002796,6446.84278106,16091.1574986
2017-06-30,27380.454091,17315.0285775,44695.4826685,36964.6052658,22590.8397105,6459.31614078,16131.5235698
2017-07-31,27400.3951227,17341.2380064,44741.633129,37037.4425173,22661.810115,6477.2998247,16184.5102903
2017-08-31,27413.6807535,17366.5646123,44780.2453658,37098.7414788,22765.5562225,6496.96496478,16268.5912577
