Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1894-08-31,4.41,0.2233,0.1933,6.755342479,3.56,160.63777534202,8.1338810054133,7.0411070234948,16.457777072998
1894-09-30,4.48,0.22,0.185,6.850483471,3.54,160.92119697343,7.9023802085165,6.6451833571616,16.522315444877
1894-10-31,4.34,0.2167,0.1767,6.660193388,3.52,160.34645133941,8.0062387108871,6.5283912331045,16.502904205708
1894-11-30,4.34,0.2133,0.1683,6.660193388,3.5,160.34645133941,7.8806216752756,6.2180432627702,16.542784447445
1894-12-31,4.3,0.21,0.16,6.565052397,3.48,161.17093375881,7.8711386254302,5.9970580003278,16.672466333768
1895-01-31,4.25,0.2083,0.1675,6.565052397,3.46,159.29685313371,7.8074198841767,6.2781700940932,16.524443935163
1895-02-28,4.19,0.2067,0.175,6.565052397,3.4716666666667,157.04795638358,7.7474493041735,6.5592821878585,16.331237693211
1895-03-31,4.19,0.205,0.1825,6.565052397,3.4833333333333,157.04795638358,7.68373056292,6.8403942816239,16.364625427175
1895-04-30,4.37,0.2033,0.19,6.850483471,3.495,156.97000686917,7.30251771087,6.8247829073552,16.387543823686
1895-05-31,4.61,0.2017,0.1975,6.945632562,3.5066666666667,163.32233635655,7.1457950635829,6.9969981410888,17.080369553382
1895-06-30,4.7,0.2,0.205,7.040773554,3.5183333333333,164.26080403381,6.9898214482471,7.1645669844533,17.207413539783
1895-07-31,4.72,0.1983,0.2125,6.945632562,3.53,167.21939861235,7.0253404120401,7.5284157214247,17.546014648741
1895-08-31,4.79,0.1967,0.22,6.850483471,3.5416666666667,172.05636908543,7.0654463046146,7.9023802085165,18.074072547242
1895-09-30,4.82,0.195,0.2275,6.850483471,3.5533333333333,173.13396638659,7.0043824575487,8.1717795338069,18.200335946605
1895-10-31,4.75,0.1933,0.235,6.850483471,3.565,170.61957268388,6.9433186104829,8.4411788590972,17.944706622466
1895-11-30,4.59,0.1917,0.2425,6.850483471,3.5766666666667,164.87238707769,6.885846754421,8.7105781843875,17.342998991922
1895-12-31,4.32,0.19,0.25,6.755342479,3.5883333333333,157.35945339626,6.9209018854838,9.1064498493208,16.548415156668
1896-01-31,4.27,0.1892,0.2467,6.660193388,3.6,157.76021825329,6.9902185699116,9.114624319224,16.576224828568
1896-02-29,4.45,0.1883,0.2433,6.565052397,3.5833333333333,166.79317563412,7.0577876341358,9.1192763217484,17.515403352637
1896-03-31,4.38,0.1875,0.24,6.565052397,3.5666666666667,164.16946275897,7.0278023441341,8.9955870004917,17.232362712299
1896-04-30,4.42,0.1867,0.2367,6.469903306,3.55,168.10512051878,7.1007298644472,9.0023714992751,17.64369937813
1896-05-31,4.4,0.1858,0.2333,6.374754215,3.5333333333333,169.8422344586,7.1719743550928,9.0054984770891,17.828266894233
1896-06-30,4.32,0.185,0.23,6.279613223,3.5166666666667,169.28064870405,7.2492870394098,9.012627130077,17.77757861643
1896-07-31,4.04,0.1842,0.2267,6.279613223,3.5,158.30875480657,7.2179387711312,8.8833155234281,16.637100103395
1896-08-31,3.81,0.1833,0.2233,6.279613223,3.4833333333333,149.29612767649,7.1826719693179,8.7500853832443,15.703370546227
1896-09-30,4.01,0.1825,0.22,6.279613223,3.4666666666667,157.13319474612,7.1513237010393,8.6207737765954,16.544339943032
1896-10-31,4.1,0.1817,0.2167,6.469903306,3.45,155.93461405588,6.9105657009644,8.2417148453439,16.438866804726
